rlnCenteredCoordinateXAngst,rlnCenteredCoordinateYAngst,rlnCenteredCoordinateZAngst,rlnLCCmax
-1350.0,-2790.0,360.0,0.323975
-2040.0,840.0,-510.0,0.318115
1920.0,1080.0,570.0,0.287354
-1860.0,840.0,-510.0,0.2854
-3660.0,930.0,120.0,0.276367
-3450.0,930.0,150.0,0.270752
-1200.0,-2790.0,360.0,0.261475
-3030.0,2250.0,-1050.0,0.25708
-2850.0,2220.0,-1020.0,0.250977
2160.0,1860.0,660.0,0.24353
1680.0,1050.0,540.0,0.240112
-480.0,1590.0,1110.0,0.235474
-270.0,1590.0,1110.0,0.232544
660.0,1830.0,-690.0,0.224243
-2310.0,-30.0,-510.0,0.220703
2040.0,1860.0,660.0,0.218262
-2130.0,-120.0,-480.0,0.217529
450.0,1920.0,-720.0,0.196411
870.0,2460.0,-480.0,0.188965
1080.0,2520.0,-540.0,0.185669
870.0,2550.0,-600.0,0.170044
-2310.0,-150.0,-480.0,0.168823
-1110.0,-720.0,420.0,0.168091
-420.0,-3570.0,-390.0,0.16394
1830.0,-360.0,-960.0,0.153076
-240.0,-2460.0,-180.0,0.152832
660.0,1950.0,-690.0,0.151489
-1590.0,2760.0,660.0,0.145264
-2370.0,3240.0,270.0,0.143921
960.0,3540.0,210.0,0.141357
-2160.0,-3360.0,-300.0,0.139526
2370.0,-150.0,1110.0,0.138428
480.0,1800.0,-690.0,0.137817
3570.0,-30.0,-450.0,0.135254
-840.0,1890.0,1170.0,0.134155
-3420.0,-1440.0,1080.0,0.133057
-2460.0,2010.0,-30.0,0.133057
420.0,1380.0,-540.0,0.131836
1020.0,2640.0,-540.0,0.131714
-150.0,-1530.0,-420.0,0.131226
